N,pi_estimate,absolute_error,execution_time_seconds,time_per_point
1000000,3.142436,8.43346410206891E-4,0.0272272,2.72272E-8
10000000,3.1418148,2.2214641020701364E-4,0.0788763,7.88763E-9
100000000,3.14160528,1.2626410206717509E-5,0.6592544,6.592544E-9
1000000000,3.141522004,7.064958979308145E-5,6.0972274,6.0972274000000005E-9
10000000000,3.1415982188,5.565210206892601E-6,59.9164481,5.99164481E-9
100000000000,3.14159071832,1.9352697933072704E-6,592.3136585,5.9231365849999994E-9
